frameNumber,hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
3,173056535,0,3,19,9,162,227
3,183464409,0,3,24,8,113,33
3,208790092,0,4,4,11,226,174
3,210816051,0,4,5,10,204,199
3,211105445,0,4,5,15,54,85
3,212864044,0,4,6,10,12,206
3,217353735,0,4,8,14,142,243
3,219147082,0,4,9,9,235,176
3,219451122,0,4,9,14,142,8
3,223658752,0,4,11,14,195,250
3,225138835,0,4,12,5,88,103
3,225756399,0,4,12,14,196,11
3,227416117,0,4,13,8,24,197
3,229471696,0,4,14,7,117,42
3,233394835,0,4,16,3,82,103
3,236321243,0,4,17,15,249,31
3,258934223,0,4,28,9,5,43
3,434842397,1,3,16,4,43,221
3,439835907,1,3,18,16,93,247
3,441830968,1,3,19,14,206,194
3,441935344,1,3,19,16,101,10
3,442024754,1,3,19,17,195,200
3,449821560,1,3,23,8,187,130
3,508298958,1,4,19,6,6,44
3,523213350,1,4,26,9,154,212
3,698910616,2,3,14,1,135,98
3,709413313,2,3,19,1,201,57
3,770153912,2,4,16,1,157,66
3,780650525,2,4,21,1,200,221
4,72545,0,1,1,1,229,153
4,6427405,0,1,4,2,237,237
4,6683581,0,1,4,5,5,61
4,8523769,0,1,5,2,241,1
4,10635687,0,1,6,2,183,83
4,14832142,0,1,8,2,174,236
4,67197212,0,2,1,1,167,222
4,67253477,0,2,1,2,204,21
4,73780771,0,2,4,5,50,215
4,75649851,0,2,5,2,173,191
4,79847223,0,2,7,2,161,195
4,135190339,0,3,1,7,215,183
4,141729241,0,3,4,11,157,33
4,141839879,0,3,4,13,78,243
4,141846164,0,3,4,13,102,102
4,143482916,0,3,5,6,96,214
4,143936737,0,3,5,13,76,25
4,147366345,0,3,7,1,161,49
4,154491748,0,3,10,14,91,150
4,160331823,0,3,13,7,120,203
4,170724254,0,3,18,6,11,92
4,175117746,0,3,20,9,21,72
4,179099844,0,3,22,5,216,54
4,183911374,0,3,24,15,67,44
4,204406427,0,4,2,8,254,95
4,208823867,0,4,4,12,102,191
4,212622655,0,4,6,6,93,187
4,239936650,0,4,19,7,36,112
4,248501807,0,4,23,9,214,203
4,254535907,0,4,26,5,232,23
4,259381696,0,4,28,15,217,58
4,403758731,1,3,1,9,222,111
4,415864505,1,3,7,2,150,65
4,422416935,1,3,10,6,146,211
4,428372253,1,3,13,1,113,221
4,470808901,1,4,1,9,249,181
4,485061593,1,4,8,3,115,33
4,485485885,1,4,8,9,237,189
4,493812170,1,4,12,8,249,48
4,499675397,1,4,15,2,113,245
4,501772021,1,4,16,2,110,5
4,690493546,2,3,10,1,24,144
4,694976553,2,3,12,5,128,209
4,695184289,2,3,12,8,171,89
4,741455155,2,4,2,11,181,199
4,759661575,2,4,11,1,132,243
4,761759222,2,4,12,1,133,4
4,764314942,2,4,13,8,133,188
4,766227281,2,4,14,5,179,169
5,378272,0,1,1,5,59,90
5,2420456,0,1,2,4,18,18
5,4309807,0,1,3,1,61,203
5,6563180,0,1,4,4,219,142
5,10788803,0,1,6,4,97,55
5,10877578,0,1,6,5,6,112
5,12947841,0,1,7,5,111,121
5,15019121,0,1,8,5,212,137
5,67461786,0,2,1,5,158,96
5,69415061,0,2,2,3,208,101
5,73510796,0,2,4,1,81,110
5,75788424,0,2,5,4,144,114
5,77939553,0,2,6,5,189,153
5,80017545,0,2,7,4,8,113
5,80078133,0,2,7,5,27,197
5,82160761,0,2,8,5,84,129
5,84012251,0,2,9,1,20,31
5,84249776,0,2,9,5,116,74
5,86319734,0,2,10,5,222,132
5,135166129,0,3,1,7,120,73
5,137582230,0,3,2,12,86,100
5,137586569,0,3,2,12,103,113
5,137668212,0,3,2,13,166,134
5,137791817,0,3,2,15,137,177
5,143218708,0,3,5,2,88,230
5,145691094,0,3,6,8,17,36
5,153735091,0,3,10,2,207,71
5,154019658,0,3,10,7,39,176
5,156374329,0,3,11,11,21,193
5,160055266,0,3,13,3,63,24
5,162426018,0,3,14,7,108,88
5,162897384,0,3,14,14,157,18
5,166861007,0,3,16,11,24,43
5,167065792,0,3,16,14,56,58
5,170981539,0,3,18,9,248,87
5,171273057,0,3,18,14,107,153
5,173189044,0,3,19,11,167,70
5,173591947,0,3,19,17,205,111
5,174891120,0,3,20,5,160,138
5,175311759,0,3,20,12,11,107
5,175422322,0,3,20,13,187,136
5,177546390,0,3,21,14,36,100
5,179185803,0,3,22,7,40,111
5,202561027,0,4,1,12,214,247
5,204658414,0,4,2,12,214,12
5,204739711,0,4,2,14,20,123
5,204865630,0,4,2,16,0,156
5,214474928,0,4,7,2,160,74
5,214824650,0,4,7,7,246,48
5,224948170,0,4,12,2,111,48
5,225245049,0,4,12,6,247,129
5,227655732,0,4,13,11,192,198
